SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEESEPT19,2019-09-14,2,5,1185,1185,Jarlian,Jarlian,,,,,B,C,,Y,,,,Street Sense,Street Sense,Goaltending,Goaltending,,,,,,,,,,"Woodford Thoroughbreds, Agent LIV ",,,,"Shepherd Equine Advisers, Agt for Sanders & Hirsch",,,,210000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1186,1186,Crew Dragon,Crew Dragon,,,,,CH,C,,Y,,,,Exaggerator,Exaggerator,Go Go Dana,Go Go Dana,,,,,,,,,,"Threave Main Stud LLC, Agent II ",,,,Kinsman,,,,110000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1187,1187,Gathered Flowers,Gathered Flowers,,,,,CH,F,,Y,,,,Orb,Orb,Goldbud,Goldbud,,,,,,,,,,Bettersworth Westwind Farms ,,,,Merry Dew Stable,,,,85000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1188,1188,Tete a Tete,Tete a Tete,,,,,B,F,,Y,,,,Malibu Moon,Malibu Moon,Golden Cropper (AUS),Golden Cropper (AUS),,,,,,,,,,Mt. Brilliant Farm ,,,,"R.N.A. (90,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1189,1189,Battle Hymn,Battle Hymn,,,,,GR/RO,C,,Y,,,,Tapit,Tapit,Gold Mover,Gold Mover,,,,,,,,,,"Taylor Made Sales Agency, Agent LXII ",,,,Fox Hill Farm,,,,500000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1190,1190,A Rose for Raven,A Rose for Raven,,,,,B,C,,Y,,,,Distorted Humor,Distorted Humor,Goldstryke Glory,Goldstryke Glory,,,,,,,,,,"South Point Sales Agency, Agent for Phoenix Rising Farms ",,,,Lewis Lakin,,,,75000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1191,1191,Novel Squall,Novel Squall,,,,,GR/RO,F,,Y,,,,Violence,Violence,Goodness Gray,Goodness Gray,,,,,,,,,,"Paramount Sales, Agent XLII ",,,,"R.N.A. (45,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1192,1192,Dalida,Dalida,,,,,GR/RO,F,,Y,,,,Cairo Prince,Cairo Prince,Great Family,Great Family,,,,,,,,,,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,,,"Hidden Brook, Agent",,,,230000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1193,1193,Doubleoseven,Doubleoseven,,,,,B,C,,Y,,,,Hard Spun,Hard Spun,Great Hostess,Great Hostess,,,,,,,,,,"Hidden Brook, Agent VII ",,,,David McCarty,,,,65000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1194,1194,Alhajriyah,Alhajriyah,,,,,B,F,,Y,,,,Tiznow,Tiznow,Great Look,Great Look,,,,,,,,,,"Warrendale Sales, Agent XXIII ",,,,"R.N.A. (85,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1195,1195,Directional,Directional,,,,,B,C,,Y,,,,Liam's Map,Liam's Map,Greek Sister,Greek Sister,,,,,,,,,,"Four Star Sales, Agent ",,,,"Winchell Thoroughbreds, LLC",,,,110000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1196,1196,Cleopatra's Gift,Cleopatra's Gift,,,,,DB/BR,F,,Y,,,,American Pharoah,American Pharoah,Grosse Pointe Anne,Grosse Pointe Anne,,,,,,,,,,"Indian Creek, Agent ",,,,Blandford Bloodstock,,,,180000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1197,1197,Sweet Guest,Sweet Guest,,,,,DB/BR,F,,Y,,,,Exaggerator,Exaggerator,Guest House,Guest House,,,,,,,,,,"Warrendale Sales, Agent II ",,,,"R.N.A. (95,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1198,1198,Call Me Candy,Call Me Candy,,,,,B,F,,Y,,,,Candy Ride (ARG),Candy Ride (ARG),Habiboo,Habiboo,,,,,,,,,,"Brookdale Sales, Agent for Hardacre Farm LLC ",,,,Waves Bloodstock,,,,75000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1199,1199,Living for Today,Living for Today,,,,,CH,F,,Y,,,,Carpe Diem,Carpe Diem,Half A. P.,Half A. P.,,,,,,,,,,"Bluegrass Thoroughbred Services Inc., Agent for Merriebelle Stable, LLC",,,,WSS Racing LLC,,,,50000,,,,,T,
